Target ID,Algorithm,Dataset size,Metric,Value,trial,Approach
333,MR,431,MAE,1.132203499335024,3,Unbalanced
333,MR,431,MSE,1.7657183033105908,3,Unbalanced
333,MR,431,R2,-2.0426605324974645e-06,3,Unbalanced
333,MR,431,RMSE,1.328803335076561,3,Unbalanced
333,1-NN,431,MAE,0.000554994547956844,4,Unbalanced
333,1-NN,431,MSE,6.78108932943776e-05,4,Unbalanced
333,1-NN,431,R2,0.9999620713150943,4,Unbalanced
333,1-NN,431,RMSE,0.008234736989994131,4,Unbalanced
333,1-NN,431,r,0.9999810381717945,4,Unbalanced
333,kNN,431,MAE,0.4555315424172258,4,Unbalanced
333,kNN,431,MSE,0.4209568703694107,4,Unbalanced
333,kNN,431,R2,0.7645460822079373,4,Unbalanced
333,kNN,431,RMSE,0.6488118913594376,4,Unbalanced
333,kNN,431,r,0.8758607417845479,4,Unbalanced
333,SVR,431,MAE,0.0933542775214612,4,Unbalanced
333,SVR,431,MSE,0.009137269837244106,4,Unbalanced
333,SVR,431,R2,0.9948892484419737,4,Unbalanced
333,SVR,431,RMSE,0.09558906756132787,4,Unbalanced
333,SVR,431,r,0.9981136096124065,4,Unbalanced
333,RFR,431,MAE,0.24154099322844602,4,Unbalanced
333,RFR,431,MSE,0.09979169652092987,4,Unbalanced
333,RFR,431,R2,0.9441834839556121,4,Unbalanced
333,RFR,431,RMSE,0.3158982376033932,4,Unbalanced
333,RFR,431,r,0.9819635397416593,4,Unbalanced
333,MR,431,MAE,1.1551085265545569,4,Unbalanced
333,MR,431,MSE,1.7878591306804035,4,Unbalanced
333,MR,431,R2,-3.7210690977396155e-06,4,Unbalanced
333,MR,431,RMSE,1.3371084962262425,4,Unbalanced
333,1-NN,431,MAE,0.0009492440269711174,5,Unbalanced
333,1-NN,431,MSE,0.0003883586800010881,5,Unbalanced
333,1-NN,431,R2,0.9997767071592104,5,Unbalanced
333,1-NN,431,RMSE,0.019706818109504337,5,Unbalanced
333,1-NN,431,r,0.9998888723068866,5,Unbalanced
333,kNN,431,MAE,0.44232523773563753,5,Unbalanced
333,kNN,431,MSE,0.4014297288181178,5,Unbalanced
333,kNN,431,R2,0.7691917571535645,5,Unbalanced
333,kNN,431,RMSE,0.6335848236961786,5,Unbalanced
333,kNN,431,r,0.8785835347312094,5,Unbalanced
333,SVR,431,MAE,0.0968118705316923,5,Unbalanced
333,SVR,431,MSE,0.011407169796842467,5,Unbalanced
333,SVR,431,R2,0.9934412709681174,5,Unbalanced
333,SVR,431,RMSE,0.10680435289276588,5,Unbalanced
333,SVR,431,r,0.9975742688764042,5,Unbalanced
333,RFR,431,MAE,0.24381511203114642,5,Unbalanced
333,RFR,431,MSE,0.10047982225848547,5,Unbalanced
333,RFR,431,R2,0.9422275692304021,5,Unbalanced
333,RFR,431,RMSE,0.31698552373647204,5,Unbalanced
333,RFR,431,r,0.9826357461295392,5,Unbalanced
333,MR,431,MAE,1.1110137801940654,5,Unbalanced
333,MR,431,MSE,1.742615710364777,5,Unbalanced
333,MR,431,R2,-0.0019439049770104688,5,Unbalanced
333,MR,431,RMSE,1.3200817059427712,5,Unbalanced
333,1-NN,431,MAE,0.0,6,Unbalanced
333,1-NN,431,MSE,0.0,6,Unbalanced
333,1-NN,431,R2,1.0,6,Unbalanced
333,1-NN,431,RMSE,0.0,6,Unbalanced
333,1-NN,431,r,1.0,6,Unbalanced
333,kNN,431,MAE,0.4475949349269075,6,Unbalanced
333,kNN,431,MSE,0.3906390377924534,6,Unbalanced
333,kNN,431,R2,0.7724482468858058,6,Unbalanced
333,kNN,431,RMSE,0.62501123013307,6,Unbalanced
333,kNN,431,r,0.8801153106296834,6,Unbalanced
333,SVR,431,MAE,0.09461672421885008,6,Unbalanced
333,SVR,431,MSE,0.009301596655924418,6,Unbalanced
333,SVR,431,R2,0.9945817124735463,6,Unbalanced
333,SVR,431,RMSE,0.096444785529983,6,Unbalanced
333,SVR,431,r,0.9980510145104382,6,Unbalanced
333,RFR,431,MAE,0.25038670052250445,6,Unbalanced
333,RFR,431,MSE,0.09954204954786518,6,Unbalanced
333,RFR,431,R2,0.9420156059896114,6,Unbalanced
333,RFR,431,RMSE,0.31550285188547056,6,Unbalanced
333,RFR,431,r,0.9822945352857808,6,Unbalanced
333,MR,431,MAE,1.1187906171101671,6,Unbalanced
333,MR,431,MSE,1.7167516857662821,6,Unbalanced
333,MR,431,R2,-2.7692996259265357e-05,6,Unbalanced
333,MR,431,RMSE,1.310248711415616,6,Unbalanced
333,1-NN,431,MAE,0.00023672727875658433,7,Unbalanced
333,1-NN,431,MSE,2.4153155742731456e-05,7,Unbalanced
