,model,trial,Target ID,Training size,n_neighbors,metric,C,kernel,n_estimators,max_features,min_samples_split,min_samples_leaf,strategy
71,kNN,1,CHEMBL280,78,3.0,jaccard,,,,,,,
72,SVR,1,CHEMBL280,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
73,RFR,1,CHEMBL280,78,,,,,50.0,sqrt,2.0,1.0,
74,MR,1,CHEMBL280,78,,,,,,,,,median
75,1-NN,1,CHEMBL280,126,1.0,jaccard,,,,,,,
76,kNN,1,CHEMBL280,126,3.0,jaccard,,,,,,,
77,SVR,1,CHEMBL280,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
78,RFR,1,CHEMBL280,126,,,,,200.0,log2,2.0,1.0,
79,MR,1,CHEMBL280,126,,,,,,,,,median
80,1-NN,1,CHEMBL280,204,1.0,jaccard,,,,,,,
81,kNN,1,CHEMBL280,204,3.0,jaccard,,,,,,,
82,SVR,1,CHEMBL280,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
83,RFR,1,CHEMBL280,204,,,,,200.0,sqrt,2.0,1.0,
84,MR,1,CHEMBL280,204,,,,,,,,,median
85,1-NN,1,CHEMBL280,330,1.0,jaccard,,,,,,,
86,kNN,1,CHEMBL280,330,3.0,jaccard,,,,,,,
87,SVR,1,CHEMBL280,330,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
88,RFR,1,CHEMBL280,330,,,,,200.0,sqrt,2.0,1.0,
89,MR,1,CHEMBL280,330,,,,,,,,,median
90,1-NN,2,CHEMBL280,6,1.0,jaccard,,,,,,,
91,kNN,2,CHEMBL280,6,3.0,jaccard,,,,,,,
92,SVR,2,CHEMBL280,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
93,RFR,2,CHEMBL280,6,,,,,50.0,log2,2.0,1.0,
94,MR,2,CHEMBL280,6,,,,,,,,,median
95,1-NN,2,CHEMBL280,12,1.0,jaccard,,,,,,,
96,kNN,2,CHEMBL280,12,3.0,jaccard,,,,,,,
97,SVR,2,CHEMBL280,12,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
98,RFR,2,CHEMBL280,12,,,,,50.0,sqrt,5.0,1.0,
99,MR,2,CHEMBL280,12,,,,,,,,,median
100,1-NN,2,CHEMBL280,18,1.0,jaccard,,,,,,,
101,kNN,2,CHEMBL280,18,3.0,jaccard,,,,,,,
102,SVR,2,CHEMBL280,18,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
103,RFR,2,CHEMBL280,18,,,,,200.0,log2,2.0,1.0,
104,MR,2,CHEMBL280,18,,,,,,,,,median
105,1-NN,2,CHEMBL280,30,1.0,jaccard,,,,,,,
106,kNN,2,CHEMBL280,30,3.0,jaccard,,,,,,,
107,SVR,2,CHEMBL280,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
108,RFR,2,CHEMBL280,30,,,,,200.0,sqrt,2.0,1.0,
109,MR,2,CHEMBL280,30,,,,,,,,,median
110,1-NN,2,CHEMBL280,48,1.0,jaccard,,,,,,,
111,kNN,2,CHEMBL280,48,3.0,jaccard,,,,,,,
112,SVR,2,CHEMBL280,48,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
113,RFR,2,CHEMBL280,48,,,,,200.0,log2,2.0,1.0,
114,MR,2,CHEMBL280,48,,,,,,,,,median
115,1-NN,2,CHEMBL280,78,1.0,jaccard,,,,,,,
116,kNN,2,CHEMBL280,78,3.0,jaccard,,,,,,,
117,SVR,2,CHEMBL280,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
118,RFR,2,CHEMBL280,78,,,,,200.0,log2,2.0,1.0,
119,MR,2,CHEMBL280,78,,,,,,,,,median
120,1-NN,2,CHEMBL280,126,1.0,jaccard,,,,,,,
121,kNN,2,CHEMBL280,126,3.0,jaccard,,,,,,,
122,SVR,2,CHEMBL280,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
123,RFR,2,CHEMBL280,126,,,,,50.0,log2,2.0,1.0,
124,MR,2,CHEMBL280,126,,,,,,,,,median
125,1-NN,2,CHEMBL280,204,1.0,jaccard,,,,,,,
126,kNN,2,CHEMBL280,204,3.0,jaccard,,,,,,,
127,SVR,2,CHEMBL280,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
128,RFR,2,CHEMBL280,204,,,,,50.0,sqrt,3.0,1.0,
129,MR,2,CHEMBL280,204,,,,,,,,,median
130,1-NN,2,CHEMBL280,330,1.0,jaccard,,,,,,,
131,kNN,2,CHEMBL280,330,3.0,jaccard,,,,,,,
132,SVR,2,CHEMBL280,330,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
133,RFR,2,CHEMBL280,330,,,,,200.0,sqrt,2.0,1.0,
134,MR,2,CHEMBL280,330,,,,,,,,,median
135,1-NN,3,CHEMBL280,6,1.0,jaccard,,,,,,,
136,kNN,3,CHEMBL280,6,3.0,jaccard,,,,,,,
137,SVR,3,CHEMBL280,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
138,RFR,3,CHEMBL280,6,,,,,50.0,log2,2.0,1.0,
139,MR,3,CHEMBL280,6,,,,,,,,,median
140,1-NN,3,CHEMBL280,12,1.0,jaccard,,,,,,,
141,kNN,3,CHEMBL280,12,3.0,jaccard,,,,,,,
142,SVR,3,CHEMBL280,12,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
143,RFR,3,CHEMBL280,12,,,,,200.0,log2,5.0,1.0,
144,MR,3,CHEMBL280,12,,,,,,,,,median
145,1-NN,3,CHEMBL280,18,1.0,jaccard,,,,,,,
146,kNN,3,CHEMBL280,18,3.0,jaccard,,,,,,,
147,SVR,3,CHEMBL280,18,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
148,RFR,3,CHEMBL280,18,,,,,200.0,log2,2.0,1.0,
149,MR,3,CHEMBL280,18,,,,,,,,,median
150,1-NN,3,CHEMBL280,30,1.0,jaccard,,,,,,,
151,kNN,3,CHEMBL280,30,3.0,jaccard,,,,,,,
152,SVR,3,CHEMBL280,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
153,RFR,3,CHEMBL280,30,,,,,100.0,log2,2.0,1.0,
154,MR,3,CHEMBL280,30,,,,,,,,,median
155,1-NN,3,CHEMBL280,48,1.0,jaccard,,,,,,,
156,kNN,3,CHEMBL280,48,3.0,jaccard,,,,,,,
157,SVR,3,CHEMBL280,48,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
158,RFR,3,CHEMBL280,48,,,,,50.0,sqrt,2.0,1.0,
159,MR,3,CHEMBL280,48,,,,,,,,,median
160,1-NN,3,CHEMBL280,78,1.0,jaccard,,,,,,,
161,kNN,3,CHEMBL280,78,3.0,jaccard,,,,,,,
162,SVR,3,CHEMBL280,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
163,RFR,3,CHEMBL280,78,,,,,200.0,sqrt,2.0,1.0,
164,MR,3,CHEMBL280,78,,,,,,,,,median
165,1-NN,3,CHEMBL280,126,1.0,jaccard,,,,,,,
166,kNN,3,CHEMBL280,126,3.0,jaccard,,,,,,,
167,SVR,3,CHEMBL280,126,,,10000.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
